 i7  i6  i5  i4  i3  i2  i1  i0  |  a3  a2  a1  a0  b3  b2  b1  b0  c3  c2  c1  c0 sign
 1   0   0   0   0   0   0   0   |  0   0   0   1   0   0   1   0   1   0   0   0   1  
 1   0   0   0   0   0   0   1   |  0   0   0   1   0   0   1   0   0   1   1   1   1  
 1   0   0   0   0   0   1   0   |  0   0   0   1   0   0   1   0   0   1   1   0   1  
 1   0   0   0   0   0   1   1   |  0   0   0   1   0   0   1   0   0   1   0   1   1  
 1   0   0   0   0   1   0   0   |  0   0   0   1   0   0   1   0   0   1   0   0   1  
 1   0   0   0   0   1   0   1   |  0   0   0   1   0   0   1   0   0   0   1   1   1  
 1   0   0   0   0   1   1   0   |  0   0   0   1   0   0   1   0   0   0   1   0   1  
 1   0   0   0   0   1   1   1   |  0   0   0   1   0   0   1   0   0   0   0   1   1  
 1   0   0   0   1   0   0   0   |  0   0   0   1   0   0   1   0   0   0   0   0   1  
 1   0   0   0   1   0   0   1   |  0   0   0   1   0   0   0   1   1   0   0   1   1  
 1   0   0   0   1   0   1   0   |  0   0   0   1   0   0   0   1   1   0   0   0   1  
 1   0   0   0   1   0   1   1   |  0   0   0   1   0   0   0   1   0   1   1   1   1  
 1   0   0   0   1   1   0   0   |  0   0   0   1   0   0   0   1   0   1   1   0   1  
 1   0   0   0   1   1   0   1   |  0   0   0   1   0   0   0   1   0   1   0   1   1  
 1   0   0   0   1   1   1   0   |  0   0   0   1   0   0   0   1   0   1   0   0   1  
 1   0   0   0   1   1   1   1   |  0   0   0   1   0   0   0   1   0   0   1   1   1  
 1   0   0   1   0   0   0   0   |  0   0   0   1   0   0   0   1   0   0   1   0   1  
 1   0   0   1   0   0   0   1   |  0   0   0   1   0   0   0   1   0   0   0   1   1  
 1   0   0   1   0   0   1   0   |  0   0   0   1   0   0   0   1   0   0   0   0   1  
 1   0   0   1   0   0   1   1   |  0   0   0   1   0   0   0   0   1   0   0   1   1  
 1   0   0   1   0   1   0   0   |  0   0   0   1   0   0   0   0   1   0   0   0   1  
 1   0   0   1   0   1   0   1   |  0   0   0   1   0   0   0   0   0   1   1   1   1  
 1   0   0   1   0   1   1   0   |  0   0   0   1   0   0   0   0   0   1   1   0   1  
 1   0   0   1   0   1   1   1   |  0   0   0   1   0   0   0   0   0   1   0   1   1  
 1   0   0   1   1   0   0   0   |  0   0   0   1   0   0   0   0   0   1   0   0   1  
 1   0   0   1   1   0   0   1   |  0   0   0   1   0   0   0   0   0   0   1   1   1  
 1   0   0   1   1   0   1   0   |  0   0   0   1   0   0   0   0   0   0   1   0   1  
 1   0   0   1   1   0   1   1   |  0   0   0   1   0   0   0   0   0   0   0   1   1  
 1   0   0   1   1   1   0   0   |  0   0   0   1   0   0   0   0   0   0   0   0   1  
 1   0   0   1   1   1   0   1   |  0   0   0   0   1   0   0   1   1   0   0   1   1  
 1   0   0   1   1   1   1   0   |  0   0   0   0   1   0   0   1   1   0   0   0   1  
 1   0   0   1   1   1   1   1   |  0   0   0   0   1   0   0   1   0   1   1   1   1  
 1   0   1   0   0   0   0   0   |  0   0   0   0   1   0   0   1   0   1   1   0   1  
 1   0   1   0   0   0   0   1   |  0   0   0   0   1   0   0   1   0   1   0   1   1  
 1   0   1   0   0   0   1   0   |  0   0   0   0   1   0   0   1   0   1   0   0   1  
 1   0   1   0   0   0   1   1   |  0   0   0   0   1   0   0   1   0   0   1   1   1  
 1   0   1   0   0   1   0   0   |  0   0   0   0   1   0   0   1   0   0   1   0   1  
 1   0   1   0   0   1   0   1   |  0   0   0   0   1   0   0   1   0   0   0   1   1  
 1   0   1   0   0   1   1   0   |  0   0   0   0   1   0   0   1   0   0   0   0   1  
 1   0   1   0   0   1   1   1   |  0   0   0   0   1   0   0   0   1   0   0   1   1  
 1   0   1   0   1   0   0   0   |  0   0   0   0   1   0   0   0   1   0   0   0   1  
